name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,2/19/17,19.6,10.7,14.7,19.6,10.7,14.7,9.3,72.1,0,0,0,,0,0,35.3,23.9,292.9,1017.7,49.8,15,202.6,17.4,7,,2017-02-19T07:17:21,2017-02-19T18:25:47,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/20/17,23.2,7.1,15.1,23.2,7.1,15.1,6.7,61.1,0,0,0,,0,0,,12.3,113.7,1020.7,28.7,15.9,130.7,11.3,5,,2017-02-20T07:16:15,2017-02-20T18:26:40,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/21/17,20.4,12.4,15.7,20.4,12.4,15.7,10.8,73.3,4.4,100,33.33,rain,0,0,29.5,17.3,92.3,1017.4,58.5,14.2,120.9,10.5,5,,2017-02-21T07:15:07,2017-02-21T18:27:33,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/22/17,19.8,15.1,16.8,19.8,15.1,16.8,14.3,85.3,4.24,100,29.17,rain,0,0,29.5,17.3,69.1,1011.6,75,13.5,123,10.5,4,,2017-02-22T07:13:59,2017-02-22T18:28:26,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/23/17,23.7,11.8,17.3,23.7,11.8,17.3,11.6,72,0,0,0,,0,0,27.7,13.6,87.5,1010.9,25.9,14.3,203.6,17.6,8,,2017-02-23T07:12:50,2017-02-23T18:29:18,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/24/17,25.5,11.4,18.6,25.5,11.4,18.6,11.4,65.4,0,0,0,,0,0,31.7,18.8,130.5,1010.2,24.5,16,217.7,18.8,8,,2017-02-24T07:11:40,2017-02-24T18:30:10,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/25/17,19,7.9,15.2,19,5.1,14.9,1.5,45.4,0,0,0,,0,0,50.1,36.8,274.5,1010.9,26.5,16,234.1,20.2,8,,2017-02-25T07:10:30,2017-02-25T18:31:02,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/26/17,16.4,1.6,8.6,16.4,-1.6,7.4,-6.9,35.5,0,0,0,,0,0,,15.3,253.5,1021.9,4.4,15.8,238,20.5,8,,2017-02-26T07:09:18,2017-02-26T18:31:53,1,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/27/17,13.1,6.1,9.6,13.1,5.5,9.3,1.5,59.2,1.28,100,12.5,rain,0,0,40.7,17.4,81.2,1024.8,38.7,15.8,105.1,9.1,5,,2017-02-27T07:08:06,2017-02-27T18:32:44,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/28/17,21.2,9.7,15.5,21.2,9.5,15.5,11.3,76.5,0,0,0,,0,0,35.3,18.5,113.1,1023.3,56.1,15.9,153.7,13.4,7,,2017-02-28T07:06:53,2017-02-28T18:33:35,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
