Date,Open,High,Low,Close,Adj Close,Volume
11/13/2015,76.519997,77.099998,75.809998,75.959999,70.237434,1054500
11/16/2015,75.379997,76.879997,74.82,76.849998,71.060387,1281700
11/17/2015,77,79.389999,76.57,77.540001,71.698395,1540400
11/18/2015,77.559998,78.32,76.599998,78.089996,72.206955,1070100
11/19/2015,78.519997,79.57,78.43,79.230003,73.26107,822900
11/20/2015,79.589996,81.940002,79.489998,81.860001,75.692955,1331500
11/23/2015,81.949997,82.209999,80.290001,80.410004,74.35218,1019500
11/24/2015,79.32,79.910004,77.5,79.599998,73.603195,1164600
11/25/2015,80.010002,80.309998,79.019997,79.610001,73.612434,669600
11/27/2015,79.809998,80.610001,79.019997,79.760002,73.751152,451500
11/30/2015,79.769997,80.370003,79.029999,79.730003,73.723389,1083200
12/1/2015,79.839996,81.220001,79.660004,81.169998,75.054909,885400
12/2/2015,81.760002,83.220001,80.93,81.699997,75.544983,1238600
12/3/2015,82.150002,82.639999,80.32,80.550003,74.481613,1366300
12/4/2015,81.629997,85.440002,81.5,84.910004,78.513161,1906900
12/7/2015,86.110001,87.169998,85.440002,86.330002,79.82618,1782000
12/8/2015,85.790001,86.449997,84.190002,85.620003,79.169662,1650300
12/9/2015,85.150002,86.57,82.940002,83.510002,77.218628,1578700
12/10/2015,84.449997,85.5,84.139999,84.360001,78.004608,1182400
12/11/2015,83.5,83.5,81.959999,82.769997,76.534355,1539900
12/14/2015,82.989998,83.480003,80.860001,82.150002,75.961082,1198800
12/15/2015,82.580002,82.860001,81.559998,82.129997,75.942589,1196900
12/16/2015,82.589996,83.040001,81,82.75,76.515892,1095300
12/17/2015,82.790001,84.25,81,81.129997,75.017937,1050700
12/18/2015,80.970001,82.290001,79.900002,79.949997,73.926826,1417100
12/21/2015,80.790001,82.870003,80.790001,82.5,76.284729,1129500
12/22/2015,81.779999,81.970001,79.620003,81.720001,75.563477,1399400
12/23/2015,81.599998,82.720001,80.349998,82.160004,75.97036,906800
12/24/2015,82.110001,83.419998,82.010002,82.120003,75.933357,387200
12/28/2015,82.129997,82.870003,81.029999,82.419998,76.210762,606400
12/29/2015,82.550003,83.269997,82.309998,82.769997,76.534355,614000
12/30/2015,82.769997,82.769997,81.300003,81.440002,75.304581,599700
12/31/2015,81,81.449997,79.800003,80.510002,74.444649,817500
1/4/2016,79.160004,79.290001,77.330002,78.400002,72.493599,1441300
1/5/2016,78.400002,79.169998,76.559998,77.089996,71.282303,1547000
1/6/2016,76.529999,78.25,76.300003,78.199997,72.30867,1387100
1/7/2016,76.57,77.190002,72.879997,73.989998,68.415848,1797200
1/8/2016,74.889999,74.889999,70.25,70.379997,65.077805,2723500
1/11/2016,70.660004,71.779999,69.110001,70.669998,65.34597,1969900
1/12/2016,71.160004,71.879997,69.449997,71.040001,65.68808,1364100
1/13/2016,71.129997,71.43,67.25,67.660004,62.562717,1518700
1/14/2016,67.330002,69.900002,66.089996,68.75,63.570591,1496500
1/15/2016,67.660004,69.849998,66.5,68.730003,63.552139,2050900
1/19/2016,69.419998,69.739998,66.639999,67.050003,61.998684,2205100
1/20/2016,66.730003,68.830002,64.18,67.160004,62.100391,2789800
1/21/2016,68.610001,72.790001,67.849998,72.610001,67.139809,3660600
1/22/2016,74.379997,74.379997,71.800003,72.860001,67.370972,2125700
1/25/2016,73.029999,73.790001,69.57,69.790001,64.532249,1701800
1/26/2016,70.150002,71.360001,68.870003,71.330002,65.956245,1430100
