name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dallas,2/9/17,15.5,2.7,9.0,15.5,-0.7,7.4,-3.4,42.4,0.0,0,0.0,,0.0,0.0,,21.4,163.4,1026.3,43.0,16.0,204.6,17.7,7,,2017-02-09T07:15:35,2017-02-09T18:07:36,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/10/17,23.7,8.2,16.5,23.7,5.7,16.1,8.2,58.2,0.0,0,0.0,,0.0,0.0,49.2,31.0,176.4,1018.8,34.6,15.6,190.9,16.6,7,,2017-02-10T07:14:42,2017-02-10T18:08:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/11/17,30.4,18.4,23.8,30.3,18.4,23.9,16.4,65.4,0.0,0,0.0,,0.0,0.0,42.5,25.6,193.5,1012.6,38.7,14.6,194.5,16.9,7,,2017-02-11T07:13:48,2017-02-11T18:09:25,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/12/17,22.9,16.7,20.1,22.9,16.7,20.1,10.2,57.3,0.0,0,0.0,,0.0,0.0,46.4,31.4,108.4,1019.5,58.2,15.0,195.8,16.9,7,,2017-02-12T07:12:53,2017-02-12T18:10:19,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/13/17,18.6,12.7,16.1,18.6,12.7,16.1,3.4,43.2,0.34,100,8.33,rain,0.0,0.0,35.3,25.3,68.5,1019.8,95.5,15.9,131.5,11.5,5,,2017-02-13T07:11:56,2017-02-13T18:11:13,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDAL,72259903971,72258013960"
Dallas,2/14/17,10.0,6.0,7.9,10.0,2.0,4.6,5.7,86.2,28.15,100,50.0,rain,0.0,0.0,51.8,33.6,231.4,1014.0,80.1,12.3,60.1,5.3,4,,2017-02-14T07:10:58,2017-02-14T18:12:06,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDAL,72259903971,72258013960"
Dallas,2/15/17,15.4,5.4,9.7,15.4,2.5,8.4,0.4,56.1,0.0,0,0.0,,0.0,0.0,37.1,24.9,332.6,1019.9,23.4,16.0,218.7,18.8,8,,2017-02-15T07:09:59,2017-02-15T18:12:59,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/16/17,19.2,4.7,11.8,19.2,3.7,11.7,0.4,49.2,0.0,0,0.0,,0.0,0.0,,20.8,236.0,1017.7,15.8,16.0,219.5,19.0,8,,2017-02-16T07:08:59,2017-02-16T18:13:52,0.65,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/17/17,21.0,9.4,15.4,21.0,8.2,15.3,6.9,57.4,0.0,0,0.0,,0.0,0.0,48.1,35.9,164.2,1010.0,43.2,16.0,186.3,16.1,7,,2017-02-17T07:07:58,2017-02-17T18:14:44,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/18/17,26.7,14.9,19.9,26.4,14.9,19.8,12.0,64.6,0.0,0,0.0,,0.0,0.0,38.9,23.3,139.9,1007.1,56.8,15.2,208.0,18.1,8,,2017-02-18T07:06:56,2017-02-18T18:15:36,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
