AA,AAL,ALK,DE
57.497601,32.123001,90.589996,63.024303
58.153877,32.449581,90.669998,63.624344
57.752277,32.024044,89.459999,62.650505
58.251831,32.598019,89.510002,61.912743
58.927696,32.687084,89.480003,62.276707
60.38718,33.429298,91.230003,63.191525
60.436153,33.261063,91.32,62.32589
61.866245,33.864731,93.919998,64.34243
60.974884,32.914696,94.779999,62.739037
61.376488,33.389717,95.279999,63.30957
59.662331,32.736572,93.830002,62.45377
60.034554,32.558434,93.830002,61.843887
61.79768,33.379818,94.93,64.037491
62.263969,34.230888,95.110001,64.499817
61.34716,31.341206,93.93,62.817734
61.278156,30.915668,93.360001,63.860432
61.573902,30.420858,93.440002,62.925934
61.741489,30.391169,93.93,62.965286
60.174046,30.193249,91.910004,62.32589
59.46426,29.530205,90.489998,62.109482
59.276958,29.144253,89.43,62.237362
56.999725,28.233805,85.589996,60.515923
57.955963,28.164289,85.459999,61.45042
58.399586,28.432423,86.480003,62.079971
59.178371,28.87932,87.629997,63.476791
58.685467,28.58139,86.980003,62.886589
57.827808,27.449255,84.709999,61.096291
58.005253,27.320154,84.559998,60.171631
56.418095,25.919884,81.949997,58.263294
56.299801,25.234646,81.620003,58.056725
57.216606,25.612024,82.940002,59.374851
57.364475,25.919884,83.889999,59.948711
56.86171,25.651747,84.029999,59.473793
57.187031,26.237675,85.290001,59.176971
57.137741,26.346916,85.559998,59.097816
55.40271,25.244577,82.529999,57.316868
55.481571,25.016165,83.580002,57.762104
55.343559,24.281271,81.940002,57.396019
55.875896,25.155199,82.449997,58.118294
57.05888,26.138367,84.690002,59.325382
57.039162,26.128435,84.309998,59.087925
56.477245,26.327055,83.150002,59.790409
56.418095,26.813673,83.910004,61.116226
57.364475,27.498913,85.839996,62.719078
57.157459,27.598223,86.300003,62.422253
57.285614,28.243736,87.330002,64.084473
57.80809,28.919043,87.559998,64.302139
57.946106,29.554626,88.379997,65.133255
58.596745,29.733385,89.379997,64.98484
59.158653,29.743315,91.349998,65.172836
58.231995,27.57836,88.760002,63.975639
58.527737,28.442354,89.980003,64.232887
58.46859,28.402632,90.230003,64.242775
57.85738,28.1047,89.419998,63.896481
57.798237,27.796841,89.089996,64.312042
57.196892,27.310223,88.209999,63.955845
57.177174,26.813673,88.300003,63.965744
57.482777,27.250639,89.169998,64.361511
57.946106,27.002363,88.449997,63.886589
57.453201,26.823605,88.139999,63.500717
56.782845,26.78388,88.410004,64.222992
56.201218,26.615053,87.839996,64.262566
53.578953,25.194921,83.690002,62.056171
52.080521,25.095612,83.269997,61.640614
53.046616,25.651747,84.290001,62.837807
52.603001,25.651747,84.849998,63.283043
52.445267,26.078779,84.690002,62.511303
53.155052,26.88319,86.459999,63.431461
52.346684,26.99243,87.339996,64.193306
52.198814,27.17119,87.150002,65.380615
52.238251,27.429396,86.970001,65.509232
52.879028,28.074909,87.879997,66.617378
52.415691,27.856426,89.699997,66.122673
52.612858,27.737257,89.459999,66.271088
53.066334,28.025253,90.089996,66.132561
53.805695,28.422495,90.779999,68.30928
53.874702,28.06498,89.709999,68.457695
53.440701,28.094772,89.900002,68.180656
53.420837,29.207043,89.809998,68.032249
54.225277,30.647038,91.639999,70.8125
54.791363,31.143585,92.190002,69.338272
54.999924,30.706621,91.029999,69.02166
54.940334,30.080971,91.669998,69.635094
54.701984,29.852556,90.839996,68.695152
55.635532,30.349106,91.650002,69.407532
56.489632,30.736416,92.389999,69.882446
57.115303,31.065199,93.120003,70.624512
57.184826,30.846008,93.339996,70.614624
57.264275,30.776266,93.800003,70.179276
57.184826,30.646746,93.440002,70.416733
56.817364,30.477371,93.529999,71.148911
56.827297,29.41131,92.720001,70.090225
56.112236,28.554476,92.419998,69.773613
56.161892,28.664072,92.519997,69.66478
56.459835,28.75374,92.510002,69.635094
56.688259,28.494698,92.769997,69.664925
56.678326,29.182158,93.290001,69.674873
55.287933,28.12606,91.699997,68.054062
54.930405,27.827166,90.970001,67.616547
55.724915,28.574404,91.779999,68.372261
55.963264,28.883261,92.519997,68.402092
57.065647,28.943041,92.760002,69.048424
56.678326,28.84341,93.050003,68.779945
56.916679,28.634182,92.800003,68.62085
56.360523,27.976612,91.629997,67.725922
55.238277,27.189522,88.870003,66.234383
55.675259,27.279188,88.169998,66.542633
55.496494,27.139706,87.860001,66.910545
55.754707,27.627901,88.580002,67.934738
55.417042,27.388784,87.610001,67.606598
55.148891,26.900589,86.510002,66.860825
54.701984,26.761105,87.019997,66.363647
56.30093,27.617937,88.470001,67.308296
56.34066,27.37882,87.580002,67.029877
58.019058,27.817202,88.629997,68.610901
58.287205,28.175877,89.360001,69.664925
58.177963,27.896908,88.839996,68.640732
58.734119,28.444881,89.220001,68.809776
58.565289,28.933079,89.279999,68.948982
59.032059,29.19212,89.440002,68.899269
